,EXT_NEG_LY_S21_L001,LY_BR1_D_S11_L001,LY_BR1_Detrit_S1_L001,LY_BR1_Toxo_S6_L001,LY_BR1_W1_S16_L001,LY_BR2_D_S12_L001,LY_BR2_Detrit_S2_L001,LY_BR2_Toxo_S7_L001,LY_BR2_W2_S17_L001,LY_BR3_D_S13_L001,LY_BR3_Detrit_S3_L001,LY_BR3_Toxo_S8_L001,LY_BR3_W1_S18_L001,LY_BR4_D_S14_L001,LY_BR4_Detrit_S4_L001,LY_BR4_Toxo_S9_L001,LY_BR4_W1_S19_L001,LY_BR5_D_S15_L001,LY_BR5_Detrit_S5_L001,LY_BR5_Toxo_S10_L001,LY_BR5_W1_S20_L001,PCR_pos_LY_S22_L001
Otu5107,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0
Otu5108,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
Otu5109,0,0,0,0,1,0,0,0,0,7,0,0,2,0,0,0,2,0,0,0,1,0
Otu5111,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,1,0,0,2,0,0
Otu5112,0,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5113,0,0,0,0,0,0,7,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0
Otu5114,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,0,1,1,0
Otu5115,0,0,0,0,3,0,0,0,0,3,1,0,6,0,0,0,0,0,0,0,0,0
Otu5116,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Otu5117,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0
Otu5120,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Otu5121,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,0,4,0,1,1,0
Otu5123,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,1,0
Otu5124,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Otu5125,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Otu5126,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0
Otu5127,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,2,0
Otu5128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3,0,0,0,0,0
Otu5130,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,1,0,0,0,0
Otu5131,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0
Otu5132,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
Otu5133,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0
Otu5135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4,0
Otu5136,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,1,3,0
Otu5138,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0
Otu5139,0,0,0,0,0,0,0,0,0,0,2,2,7,0,0,0,0,1,0,0,0,0
Otu5140,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,1,4,0
Otu5141,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,7,0
Otu5142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11
Otu5144,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,0
Otu5145,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,2,0
Otu5148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0
Otu5157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Otu5158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Otu5159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Otu5160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,0
Otu5161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0
Otu5162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0
Otu5164,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,4,0,0,0,0,0
Otu5165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
Otu5166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0
Otu5169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,0
Otu5170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,7,0
Otu5171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,1,0
Otu5172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,0
Otu5173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0
Otu5174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0
Otu5175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,0
Otu5176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
Otu5177,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0
Otu5179,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,5,0,0,0
Otu5180,0,2,0,0,2,0,0,0,0,0,0,1,2,1,0,1,3,0,0,0,0,0
Otu5184,0,1,0,0,0,1,0,0,0,1,0,0,0,4,0,0,3,2,0,0,0,0
Otu5185,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,1,1,0
Otu5187,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,1,0
Otu5188,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5190,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0
Otu5191,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5192,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,0,0,1,0
Otu5193,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Otu5194,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0
Otu5195,0,1,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
Otu5196,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5197,0,2,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,2,2
Otu5198,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5199,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0,0
Otu5200,0,9,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Otu5201,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5204,0,5,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Otu5205,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0
Otu5206,0,1,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,4,0,0,0,0
Otu5207,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,3,0
Otu5208,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Otu5211,0,0,0,0,0,2,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu5212,0,0,0,0,0,0,0,0,0,1,5,2,4,0,0,0,0,0,0,0,0,0
Otu5213,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0
Otu5214,0,0,0,0,0,0,0,0,0,2,0,1,8,0,0,0,0,1,0,0,0,0
Otu5216,0,0,0,0,0,0,0,0,0,8,2,0,2,0,0,0,0,0,0,0,0,0
Otu5217,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,3,1,0
Otu5218,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,1,0,0,0,0
Otu5219,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,4,0,0,0
Otu5220,0,0,0,0,0,0,0,0,1,1,5,0,2,0,0,0,0,2,1,0,0,0
Otu5221,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0
Otu5223,0,4,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,2,1,0
Otu5224,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5227,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,8,0
Otu5228,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Otu5229,0,0,0,0,9,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
Otu5230,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,2,0
Otu5231,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5232,0,0,0,0,1,0,0,0,1,0,0,3,4,0,0,0,1,0,0,0,2,0
Otu5233,0,0,0,0,6,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0
Otu5234,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5235,0,0,0,0,1,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0
Otu5236,0,0,0,0,3,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5237,0,0,0,0,2,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,1,0
Otu5238,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Otu5239,0,0,0,2,1,0,0,0,0,3,0,1,5,0,0,0,0,0,0,0,0,0
Otu5241,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Otu5243,0,0,2,0,0,0,0,0,0,0,1,0,2,0,6,0,0,0,1,0,0,0
Otu5244,0,1,0,0,1,0,0,2,0,4,0,1,3,0,0,0,0,0,0,0,0,0
Otu5245,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,4,0
Otu5246,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0
Otu5249,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Otu5250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,1,0
Otu5251,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,5,0
Otu5253,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,0
Otu5254,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,2,0
Otu5255,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Otu5256,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,5,0
Otu5257,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Otu5258,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0
Otu5259,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0
Otu5260,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0
Otu5261,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0
Otu5263,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0
Otu5264,0,1,0,1,2,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
Otu5266,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,0,0,0,0,0
Otu5267,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,2,0
Otu5268,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,1,1,0,0,0,0
Otu5270,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0
Otu5271,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0
Otu5272,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,2,0,0,0
Otu5273,0,0,0,0,1,5,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0
Otu5274,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0
Otu5275,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,2,0
Otu5276,0,0,0,0,0,0,0,0,0,1,4,2,4,0,0,0,0,0,0,0,0,0
Otu5277,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,4,0,0,4,0
Otu5278,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0
Otu5279,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,0,0,0,0
Otu5280,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,3,0,0,0
Otu5281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
Otu5283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,4,0
Otu5284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,0
Otu5285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0
Otu5286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0
Otu5287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Otu5288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Otu5289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
Otu5290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0
Otu5291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
Otu5292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0
Otu5293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Otu5294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Otu5297,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
Otu5298,0,4,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0
Otu5299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,0,0,0
Otu5300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0
Otu5301,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0
Otu5302,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Otu5303,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0
Otu5305,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0
Otu5306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,1,0
Otu5307,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0
Otu5308,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0
Otu5309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0
Otu5310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,8,0
Otu5311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0
Otu5313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0
Otu5314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0
Otu5315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
Otu5317,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,3,0
Otu5318,0,1,0,0,2,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,1,0
Otu5319,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,5,0
Otu5320,0,0,3,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0
Otu5321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,0
Otu5322,0,0,1,0,0,0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,1,0
Otu5323,0,0,1,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0
Otu5324,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Otu5325,0,0,0,1,0,0,0,0,2,1,1,1,0,0,1,0,3,0,0,0,1,0
Otu5326,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,2,0
Otu5327,0,0,0,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Otu5328,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0
Otu5329,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0
Otu5330,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0
Otu5332,0,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,2,0,0,0,0,0
Otu5333,0,2,0,0,0,0,0,0,0,1,0,3,3,1,0,0,0,1,0,0,0,0
Otu5334,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0
Otu5335,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0
Otu5336,0,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0
Otu5337,0,5,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5338,0,1,0,0,0,0,0,0,0,2,0,0,4,1,0,2,1,0,0,0,0,0
Otu5339,0,3,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
Otu5340,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5341,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5342,0,1,0,0,6,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Otu5343,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5344,0,4,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu5346,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,4,1,0
Otu5347,0,0,0,0,2,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Otu5349,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5350,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,3,0
Otu5352,0,0,0,0,0,1,0,1,0,0,0,1,1,5,0,0,0,2,0,0,0,0
Otu5353,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,2,0
Otu5354,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0
Otu5355,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,1,3,1,0
Otu5356,0,5,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0
Otu5357,0,0,0,0,0,0,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0
Otu5358,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0
Otu5359,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0
Otu5360,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0
Otu5362,0,0,0,0,0,3,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0
Otu5364,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0
Otu5365,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,2,3,0
Otu5366,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,0
Otu5367,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0
Otu5368,0,0,0,0,2,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0
Otu5369,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0
Otu5370,0,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,1,2,0
Otu5371,0,0,0,0,1,5,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
Otu5372,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,2,0,0,0,0
Otu5373,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5374,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0
Otu5375,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Otu5376,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,6,0
Otu5378,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
Otu5381,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,4,0,1,0
Otu5382,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0
Otu5383,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,2,0
Otu5384,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0
Otu5385,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Otu5386,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,0,0,0,0
Otu5387,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,1,0
Otu5388,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,6,0
Otu5389,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0
Otu5390,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0
Otu5392,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Otu5393,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9
Otu5394,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,3,0
Otu5395,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,1,0
Otu5396,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0
Otu5399,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0
Otu5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Otu5401,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,2,1,0
Otu5402,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,5,0
Otu5403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0
Otu5405,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0
Otu5406,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,6,0,0,0,0
Otu5407,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,5,0,0,1,0,0
Otu5408,0,0,0,0,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0,0,0,0
Otu5409,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0
Otu5410,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,3,0
Otu5415,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,5,1,0
Otu5419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0
Otu5421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Otu5422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Otu5428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
Otu5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
Otu5431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
Otu5434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Otu5435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Otu5436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0
Otu5437,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,1,2,0
Otu5438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0
Otu5439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0
Otu5440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
Otu5441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0
Otu5442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Otu5443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0
Otu5444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Otu5445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0
Otu5447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0
Otu5448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0
Otu5449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0
Otu5450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0
Otu5451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0
Otu5452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0
Otu5454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0
Otu5456,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu5457,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
Otu5458,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
Otu5460,0,5,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0
