,EXT_NEG_LY_S21_L001,LY_BR1_D_S11_L001,LY_BR1_Detrit_S1_L001,LY_BR1_Toxo_S6_L001,LY_BR1_W1_S16_L001,LY_BR2_D_S12_L001,LY_BR2_Detrit_S2_L001,LY_BR2_Toxo_S7_L001,LY_BR2_W2_S17_L001,LY_BR3_D_S13_L001,LY_BR3_Detrit_S3_L001,LY_BR3_Toxo_S8_L001,LY_BR3_W1_S18_L001,LY_BR4_D_S14_L001,LY_BR4_Detrit_S4_L001,LY_BR4_Toxo_S9_L001,LY_BR4_W1_S19_L001,LY_BR5_D_S15_L001,LY_BR5_Detrit_S5_L001,LY_BR5_Toxo_S10_L001,LY_BR5_W1_S20_L001,PCR_pos_LY_S22_L001
Otu0324,498,20,4,1,3,1,5,0,1,9,2,2,1,0,67,2,2,3,17,4,2,1
Otu0325,0,3,3,6,14,22,41,496,41,0,0,0,0,3,0,0,0,4,0,1,5,0
Otu0326,0,0,635,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu0327,0,6,1,119,1,0,0,0,0,0,45,2,2,0,0,0,0,1,457,0,1,0
Otu0328,0,2,0,0,1,4,0,0,1,1,0,0,0,504,0,115,0,4,0,2,0,0
Otu0329,0,12,0,0,0,2,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0
Otu0330,0,1,208,57,182,0,1,0,1,0,0,0,0,0,0,0,0,1,21,148,13,0
Otu0331,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,499,103,17,0
Otu0332,0,5,0,0,14,48,0,13,64,88,1,20,86,251,0,1,9,14,0,0,12,0
Otu0333,0,0,0,0,69,19,0,12,522,0,0,0,0,0,0,0,0,0,0,0,4,0
Otu0334,0,1,0,0,0,1,0,586,0,2,0,12,0,0,0,1,0,9,0,0,2,2
Otu0335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,611,0
Otu0338,0,1,0,0,0,0,0,0,0,9,10,0,153,0,11,220,205,0,2,0,0,0
Otu0339,0,4,0,0,0,1,0,0,0,10,0,0,6,1,0,148,3,19,0,399,17,0
Otu0340,0,0,0,0,0,566,0,0,37,1,0,0,3,0,0,0,0,0,0,0,0,0
Otu0341,0,0,158,84,0,0,1,0,0,0,136,1,1,0,224,0,0,0,0,0,0,0
Otu0342,0,0,0,0,0,0,504,2,0,0,0,0,0,0,75,0,0,0,21,2,0,0
Otu0343,0,1,0,0,0,0,0,0,0,53,0,1,5,160,0,3,76,291,0,1,12,0
Otu0344,0,127,0,1,235,0,0,0,0,30,0,7,63,0,0,0,11,53,12,11,53,0
Otu0345,0,0,8,226,1,0,4,0,0,0,106,5,2,0,142,0,0,0,108,1,0,0
Otu0346,0,125,0,2,18,3,0,0,0,39,0,0,46,278,0,1,12,19,4,4,49,0
Otu0347,0,12,0,4,10,2,0,24,0,15,1,152,26,0,0,23,4,53,0,243,31,0
Otu0348,0,3,0,0,0,4,0,1,0,0,1,1,11,1,0,1,55,425,0,3,91,3
Otu0349,0,5,0,0,4,1,0,0,0,129,0,3,191,44,0,0,4,174,0,0,31,0
Otu0350,0,0,365,7,0,0,6,0,0,0,198,9,0,0,0,0,0,0,0,0,0,0
Otu0351,0,0,2,233,12,0,0,0,2,0,232,80,12,0,0,0,3,2,0,6,0,0
Otu0352,0,0,137,16,132,0,189,3,101,0,0,0,0,0,0,0,0,0,3,0,0,0
Otu0353,0,54,0,5,77,414,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu0354,0,0,0,0,13,4,1,0,46,8,0,0,2,3,3,0,492,0,0,0,1,0
Otu0355,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,1,0,0,0,0,0
Otu0356,0,65,1,1,19,0,0,0,1,37,2,50,25,15,0,46,41,116,2,116,35,0
Otu0357,0,167,1,2,50,290,1,32,19,0,0,0,0,0,0,0,0,0,1,6,0,0
Otu0358,0,0,0,0,0,0,0,0,0,56,2,9,450,0,0,0,1,13,0,1,36,0
Otu0359,0,116,5,0,313,2,1,0,65,0,0,0,22,0,0,0,8,3,0,1,32,0
Otu0360,0,0,0,3,334,0,0,0,3,0,0,0,0,1,0,50,171,0,5,0,0,0
Otu0361,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,561,0,0,0
Otu0362,0,1,0,2,0,0,0,0,0,0,0,0,0,6,29,163,24,13,5,318,2,0
Otu0363,0,0,0,0,0,0,0,0,0,189,2,245,70,0,0,0,0,11,0,7,35,0
Otu0364,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,411,104,4,35,0
Otu0365,0,4,0,0,14,1,0,1,192,43,0,2,126,2,0,0,7,12,0,0,152,0
